2022-08-26 01:21:24,452 INFO  ExportHelperExtension.cs: 1409 - Component 39 is already fixed
2022-08-26 01:21:24,453 INFO  ExportHelperExtension.cs: 1402 - Fixing 28
2022-08-26 01:21:24,453 INFO  ExportHelperExtension.cs: 1409 - Component 28 is already fixed
2022-08-26 01:21:24,454 INFO  ExportHelperExtension.cs: 1402 - Fixing 36
2022-08-26 01:21:24,455 INFO  ExportHelperExtension.cs: 1409 - Component 36 is already fixed
2022-08-26 01:21:24,455 INFO  ExportHelperExtension.cs: 1402 - Fixing 44
2022-08-26 01:21:24,456 INFO  ExportHelperExtension.cs: 1409 - Component 44 is already fixed
2022-08-26 01:21:24,457 INFO  ExportHelperExtension.cs: 1402 - Fixing 43
2022-08-26 01:21:24,457 INFO  ExportHelperExtension.cs: 1409 - Component 43 is already fixed
2022-08-26 01:21:24,458 INFO  ExportHelperExtension.cs: 1402 - Fixing 34
2022-08-26 01:21:24,459 INFO  ExportHelperExtension.cs: 1409 - Component 34 is already fixed
2022-08-26 01:21:24,459 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2022-08-26 01:21:24,460 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2022-08-26 01:21:26,819 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2022-08-26 01:21:26,820 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2022-08-26 01:21:26,821 INFO  ExportHelperExtension.cs: 849 - L1: 0
2022-08-26 01:21:26,822 INFO  ExportHelperExtension.cs: 857 - L2: 0
2022-08-26 01:21:29,491 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent link1 to child link2 failed
2022-08-26 01:21:30,776 INFO  ExportHelperExtension.cs: 347 - Creating joint link3
2022-08-26 01:21:30,778 INFO  ExportHelperExtension.cs: 1397 - Fixing components for link2
2022-08-26 01:21:30,778 INFO  ExportHelperExtension.cs: 1402 - Fixing 27
2022-08-26 01:21:30,779 INFO  ExportHelperExtension.cs: 1409 - Component 27 is already fixed
2022-08-26 01:21:30,779 INFO  ExportHelperExtension.cs: 1402 - Fixing 43
2022-08-26 01:21:30,780 INFO  ExportHelperExtension.cs: 1409 - Component 43 is already fixed
2022-08-26 01:21:30,781 INFO  ExportHelperExtension.cs: 1402 - Fixing 41
2022-08-26 01:21:30,782 INFO  ExportHelperExtension.cs: 1409 - Component 41 is already fixed
2022-08-26 01:21:30,782 INFO  ExportHelperExtension.cs: 1402 - Fixing 37
2022-08-26 01:21:30,783 INFO  ExportHelperExtension.cs: 1409 - Component 37 is already fixed
2022-08-26 01:21:30,784 INFO  ExportHelperExtension.cs: 1402 - Fixing 38
2022-08-26 01:21:30,785 INFO  ExportHelperExtension.cs: 1409 - Component 38 is already fixed
2022-08-26 01:21:30,786 INFO  ExportHelperExtension.cs: 1402 - Fixing 39
2022-08-26 01:21:30,786 INFO  ExportHelperExtension.cs: 1409 - Component 39 is already fixed
2022-08-26 01:21:30,787 INFO  ExportHelperExtension.cs: 1402 - Fixing 35
2022-08-26 01:21:30,788 INFO  ExportHelperExtension.cs: 1409 - Component 35 is already fixed
2022-08-26 01:21:30,789 INFO  ExportHelperExtension.cs: 1402 - Fixing 26
2022-08-26 01:21:30,789 INFO  ExportHelperExtension.cs: 1409 - Component 26 is already fixed
2022-08-26 01:21:30,790 INFO  ExportHelperExtension.cs: 1402 - Fixing 34
2022-08-26 01:21:30,791 INFO  ExportHelperExtension.cs: 1409 - Component 34 is already fixed
2022-08-26 01:21:30,792 INFO  ExportHelperExtension.cs: 1402 - Fixing 27
2022-08-26 01:21:30,792 INFO  ExportHelperExtension.cs: 1409 - Component 27 is already fixed
2022-08-26 01:21:30,793 INFO  ExportHelperExtension.cs: 1402 - Fixing 33
2022-08-26 01:21:30,794 INFO  ExportHelperExtension.cs: 1409 - Component 33 is already fixed
2022-08-26 01:21:30,795 INFO  ExportHelperExtension.cs: 1402 - Fixing 32
2022-08-26 01:21:30,795 INFO  ExportHelperExtension.cs: 1409 - Component 32 is already fixed
2022-08-26 01:21:30,796 INFO  ExportHelperExtension.cs: 1402 - Fixing 31
2022-08-26 01:21:30,797 INFO  ExportHelperExtension.cs: 1409 - Component 31 is already fixed
2022-08-26 01:21:30,798 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2022-08-26 01:21:30,799 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2022-08-26 01:21:30,799 INFO  ExportHelperExtension.cs: 1402 - Fixing 28
